dataset,folder,image_path,mask_iou,hsv_processing_ms,lab_processing_ms,hsv_area_ratio,hsv_border_contact_ratio,hsv_centre_coverage,hsv_solidity,hsv_proxy_score,hsv_proxy_valid,lab_area_ratio,lab_border_contact_ratio,lab_centre_coverage,lab_solidity,lab_proxy_score,lab_proxy_valid,hsv_mean_hue_drift,hsv_mean_saturation_drift,hsv_lightness_contrast,hsv_contrast_gain,hsv_clipped_lightness_ratio,lab_mean_hue_drift,lab_mean_saturation_drift,lab_lightness_contrast,lab_contrast_gain,lab_clipped_lightness_ratio
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f001.png,0.9880273417290052,7.3349000012967736,128.9556999981869,0.48659101711026614,0.0,1.0,0.9692167366353813,0.9069217909841797,1.0,0.4836293963878327,0.0,1.0,0.952504929343626,0.9054640972582861,1.0,0.04228603942466038,0.45963640684410645,77.01250892242902,0.4638870847993104,0.3975403992395437,0.2647842476433288,7.387666349809886,76.81832454541536,0.26970270778565464,0.39601354562737645
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f057.png,0.9967981188948507,4.452099994523451,4.790600010892376,0.412657541322314,0.0,0.9999793729372938,0.9937833120490092,0.9588795561557881,1.0,0.41198088842975206,0.0,0.999927805280528,0.9940373961002194,0.9593506567299437,1.0,0.02356295357677687,0.38205836776859503,69.56640512165933,-0.46384218316653403,0.10064307851239669,0.22472641400760282,4.473806818181818,69.40898008937351,-0.6212672154523489,0.11337035123966942
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f114.png,0.9957529455873043,3.0026000167708844,3.8961000100243837,0.4559386220825853,0.0,0.9636648745519714,0.9670997197306067,0.9187374320766887,1.0,0.4549427737881508,0.0,0.9624439964157706,0.9657447196629196,0.9188559780778238,1.0,0.01093565824250575,0.3501374551166966,88.81446154419984,-0.1870434126581273,0.41182114003590664,0.26235713803542404,5.533107046678635,88.06686361579582,-0.9346413410621466,0.4096835727109515
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f170.png,0.9909646381524151,3.312000015284866,4.570000019157305,0.3839413998357964,0.0,0.9899795081967213,0.9429761931147157,0.964992067639508,1.0,0.38267908456486044,0.0,0.9899487704918033,0.938032317499044,0.9648004365114401,1.0,0.023631925910718766,0.40080562397372743,80.78392409539497,-1.1946220043939917,0.2257491789819376,0.22657337074294578,5.473257902298851,80.50845491435628,-1.470091185432679,0.24367559523809523
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f227.png,0.9310558394211956,3.109999990556389,3.6054999800398946,0.4156162219101124,0.0,0.9123484141791045,0.8484769207637949,0.9104092894094173,1.0,0.387216175093633,0.0,0.8527985074626866,0.9672582001373268,0.9403283210058726,1.0,0.02973106896707059,0.37144194756554305,90.33664324842486,-0.006936623439287359,0.5060042134831461,0.3025104090917866,6.430316596441948,89.91853170298405,-0.425048168880096,0.5034614934456929
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f283.png,0.9934155661492886,2.896799996960908,3.7817999836988747,0.6490813577586206,0.0784072249589491,1.0,0.962717438164847,0.7826171810013827,1.0,0.6452586206896552,0.07594417077175698,1.0,0.9638476358187494,0.7858916349410301,1.0,0.00844988580144786,0.5058620689655172,75.26525196347592,0.7380564357343218,0.3002801724137931,0.26909294874381595,3.5326212284482756,75.17977716808318,0.6525816403415803,0.3004283405172414
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f340.png,0.992396776398931,3.319400013424456,4.1628000035416335,0.3778375836120401,0.0,0.9950208333333334,0.9942276156116759,0.9801348638540672,1.0,0.3760111831103679,0.0,0.99459375,0.9937308857897766,0.9811123560877213,1.0,0.023218218154508075,0.3651024247491639,56.39011462778484,7.282469212730831,0.3919314381270903,0.31697832202548404,5.578647575250836,58.30552646772744,9.19788105267343,0.3909176421404682
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f396.png,0.9789723429338095,2.441999997245148,3.571000008378178,0.5601686946902655,0.0,1.0,0.936808894510216,0.8536180640991469,1.0,0.5493528761061947,0.0,1.0,0.9183054709479411,0.8568001730311007,1.0,0.04036129761048,0.5080005530973452,50.43584849630345,4.8280361824005595,0.30761061946902657,0.31795738400852686,5.736100663716814,50.61655713642654,5.008744822523653,0.307771017699115
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.10.11 PM.png,0.9986650327223424,3.2334999996237457,4.122400016058236,0.5094653486394558,0.06484502446982056,0.9761585884353742,0.9246201579677815,0.8624665440289768,1.0,0.5090136054421769,0.06484502446982056,0.9758078231292517,0.9242637935714009,0.8626125910321992,1.0,0.014231361127681226,0.4164301658163265,88.0819860286937,1.0585234177164011,0.4143176020408163,0.4239532004270912,4.2074006164965985,87.1922648517121,0.16880224073479155,0.41252657312925173
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.25.54 PM.png,0.9977096537836827,3.3651999838184565,4.219299997203052,0.5358742297535212,0.0,1.0,0.9785025926458095,0.8774169177769212,1.0,0.5366582306338028,0.0,1.0,0.9788317289897294,0.8769838353946169,1.0,0.012579586919619077,0.40216219190140845,84.46130528527173,-1.3470668905618624,0.3839898767605634,0.2338001105131894,5.048907900528169,83.9999745192111,-1.8083976566225033,0.38146181778169014
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.34.07 PM.png,0.9874107061893583,3.6112999951001257,4.187200014712289,0.5484402654867256,0.0,0.9819346289752651,0.9314127745566488,0.8563893117602848,1.0,0.5425580752212389,0.0,0.9732221731448764,0.9207302256121584,0.8562535227924368,1.0,0.04056529585301217,0.5114325221238938,81.90392710231558,-0.6892365085937087,0.3333462389380531,0.3308771722479556,5.910420353982301,81.5372422946292,-1.0559213162800916,0.33189435840707965
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.07.05 PM.png,0.9940496760259179,3.07880001491867,4.853999998886138,0.4792488579734219,0.0,0.9790459437086093,0.9728806925023868,0.9081360539863852,1.0,0.47926962209302326,0.0,0.9781146523178808,0.9707194785660567,0.9075043393903182,1.0,0.021005956502400485,0.3947908014950166,31.8735193188124,5.291581534685335,0.28153550664451826,0.22806205033909419,5.395348837209302,32.6459904991064,6.064052714979333,0.2807360880398671
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.13.25 PM.png,0.9980859812312661,3.3648000098764896,4.25369999720715,0.514344175170068,0.0,1.0,0.9543572059817359,0.8862887842699403,1.0,0.5148198341836735,0.0,1.0,0.9548303447047208,0.8860807199149702,1.0,0.01603093385905989,0.36054156037414964,38.11447641608857,6.227451595066423,0.4058407738095238,0.2551636882834452,5.0383184523809526,38.85200505424296,6.96498023322081,0.40690369897959183
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\translation_Screen Shot 2018-06-08 at 5.23.26 PM.png,0.9879444016456589,2.784799988148734,4.166700004134327,0.36945554748062015,0.07885615251299827,0.669718992248062,0.9850172986522059,0.8988524171095912,1.0,0.36505571705426354,0.07842287694974004,0.6620639534883721,0.9849232411132091,0.900210808830168,1.0,0.018010182276241106,0.3026223352713178,103.89889707195886,-2.0151914614284436,0.5145197432170543,0.2132504555031529,5.78952882751938,103.26803287547718,-2.646055657910125,0.5122123304263566
primary,freshapples,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.33.27 PM.png,0.9977181087292565,4.0905000059865415,4.895999998552725,0.596552734375,0.0715962441314554,1.0,0.9385752511971869,0.8129187946043008,1.0,0.5960986328125,0.0715962441314554,1.0,0.9378202483720105,0.8130567677608564,1.0,0.01008309441663832,0.547470703125,73.6456038216089,3.1479816974116517,0.33038330078125,0.385955747768761,4.42265869140625,72.35906088826407,1.8614387640668184,0.3304052734375
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f001.png,0.950877406497448,3.3380000095348805,4.13519999710843,0.42603086099585064,0.09151785714285714,0.6325413223140496,0.7607968281032852,0.807404890618575,1.0,0.40538770746887964,0.09107142857142857,0.571590909090909,0.7264947241580495,0.8016025465721929,1.0,0.009345852699878341,0.3193788900414938,77.01498327695826,1.3780450754367735,0.4458052385892116,0.27497894375643384,5.175457079875518,76.50284890831092,0.8659107067894354,0.4432378112033195
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f065.png,0.9913832573679543,2.2536999895237386,2.619099977891892,0.895419621749409,0.4505183788878417,1.0,0.9836232658069934,0.5370098445989053,1.0,0.8879026300236407,0.42082940622054665,1.0,0.9789952843216482,0.5482900316577853,1.0,0.03970337368952782,0.6858414598108747,68.1760359617893,0.5626191225292985,0.10977024231678487,0.4807631792510641,6.01968085106383,69.22632090522593,1.6129040659659353,0.10712913711583924
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f128.png,0.9917452229299363,3.0827000155113637,2.5836999993771315,0.6257298752834467,0.047265987025023166,0.9834134615384615,0.9182077725644333,0.7930432839748571,1.0,0.6206986961451247,0.042632066728452274,0.9800339366515837,0.9139297015532885,0.7958719043210547,1.0,0.02421602787456446,0.5380491780045351,81.79287571650656,2.647107502426138,0.3264314058956916,0.35105074041811846,7.022590702947846,81.54092243331071,2.3951542192302924,0.32534013605442175
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f192.png,0.9879844581578346,3.2905999978538603,4.269900004146621,0.16439500432525953,0.0,0.4573814655172414,0.5720339184568338,0.7085743343640193,1.0,0.16478968425605536,0.0,0.4585452586206897,0.5726484766450571,0.7096206945012463,1.0,0.29851308232291,0.6201557093425606,68.52064834295403,-0.7652923792649489,0.1505758001730104,0.48886407147415445,2.871875,68.8914594215868,-0.39448130063217945,0.14797253460207613
